Photo ID,Player,Set,Tags,Raw URL,Processed URL
52847143908,CC Sabathia,2002 Topps Opening Day,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/52847143908,"[URL=""https://www.flickr.com/photos/tkraft24/52847143908""] photo[/URL]"
54104751667,Bartolo Colon,2002 Topps Ten,(CGCJSA/BLUEINK),https://www.flickr.com/photos/90414144@N05/54104751667,"[URL=""https://www.flickr.com/photos/tkraft24/54104751667""] photo[/URL]"
52862643658,Victor Martinez,2002 Topps Total,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/52862643658,"[URL=""https://www.flickr.com/photos/tkraft24/52862643658""] photo[/URL]"
53886808038,Kenny Lofton,2002 Ultra,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/53886808038,"[URL=""https://www.flickr.com/photos/tkraft24/53886808038""] photo[/URL]"
53896378703,Bartolo Colon,2002 Upper Deck 40-Man,(BAS/BLUEINK),https://www.flickr.com/photos/90414144@N05/53896378703,"[URL=""https://www.flickr.com/photos/tkraft24/53896378703""] photo[/URL]"
53803280948,Grady Sizemore,2002 Upper Deck Minor League,(BAS/BLUEINK/MILB),https://www.flickr.com/photos/90414144@N05/53803280948,"[URL=""https://www.flickr.com/photos/tkraft24/53803280948""] photo[/URL]"
52693708959,CC Sabathia,2002 Upper Deck Ovation,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/52693708959,"[URL=""https://www.flickr.com/photos/tkraft24/52693708959""] photo[/URL]"
53807586044,CC Sabathia,2002 Upper Deck Vintage,(BAS/BLUEINK),https://www.flickr.com/photos/90414144@N05/53807586044,"[URL=""https://www.flickr.com/photos/tkraft24/53807586044""] photo[/URL]"
52692063085,Jim Thome,2002 Upper Deck World Series Heroes,(BAS/BLACKINK/HOF),https://www.flickr.com/photos/90414144@N05/52692063085,"[URL=""https://www.flickr.com/photos/tkraft24/52692063085""] photo[/URL]"
53835809930,Shin/Soo Choo,2003 Bazooka Silver,(BAS/BLUEINK/MARINERS),https://www.flickr.com/photos/90414144@N05/53835809930,"[URL=""https://www.flickr.com/photos/tkraft24/53835809930""] photo[/URL]"
53807623914,Cliff Lee,2003 Bowman Draft,(BAS/BLUEINK),https://www.flickr.com/photos/90414144@N05/53807623914,"[URL=""https://www.flickr.com/photos/tkraft24/53807623914""] photo[/URL]"
53803365909,Grady Sizemore,2003 Bowman Draft,(BLUEINK/PSA),https://www.flickr.com/photos/90414144@N05/53803365909,"[URL=""https://www.flickr.com/photos/tkraft24/53803365909""] photo[/URL]"
53803281028,Grady Sizemore,2003 Bowman Draft Fabric of the Future,(BAS/BLACKINK/MEM),https://www.flickr.com/photos/90414144@N05/53803281028,"[URL=""https://www.flickr.com/photos/tkraft24/53803281028""] photo[/URL]"
52847143903,CC Sabathia,2003 Bowman Heritage,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/52847143903,"[URL=""https://www.flickr.com/photos/tkraft24/52847143903""] photo[/URL]"
52862206111,Victor Martinez,2003 Bowman Heritage,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/52862206111,"[URL=""https://www.flickr.com/photos/tkraft24/52862206111""] photo[/URL]"
53835507179,Coco Crisp,2003 Choice Buffalo Bisons,(BAS/BLACKINK/MILB),https://www.flickr.com/photos/90414144@N05/53835507179,"[URL=""https://www.flickr.com/photos/tkraft24/53835507179""] photo[/URL]"
53239934910,CC Sabathia,2003 Diamond Kings,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/53239934910,"[URL=""https://www.flickr.com/photos/tkraft24/53239934910""] photo[/URL]"
53802605138,Cliff Lee,2003 Diamond Kings,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/53802605138,"[URL=""https://www.flickr.com/photos/tkraft24/53802605138""] photo[/URL]"
53802604963,Cliff Lee,2003 Diamond Kings Bronze Foil,(BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/53802604963,"[URL=""https://www.flickr.com/photos/tkraft24/53802604963""] photo[/URL]"
